Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Pied lit peigne partie droite",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile droit / Pied lit peigne partie droite",98.09,48.29,2.04,95.0,1.5,38.0,""
"Peigne mobile partie droite",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile droit / Peigne mobile partie droite",98.09,48.3,40.04,95.0,74.0,1.5,""
"Peigne mobile gauche",2,"🛌 Bloc lit peigne / Peigne / Peigne mobile gauche",3.09,48.3,41.54,95.0,74.07,39.57,""
"Peigne mobile partie gauche",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile gauche / Peigne mobile partie gauche",3.09,48.3,40.04,74.0,95.0,1.5,""
"Pied lit peigne partie gauche",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile gauche / Pied lit peigne partie gauche",3.09,48.3,2.04,1.5,95.0,38.0,""
"8 Vis",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile gauche / 8 Vis",3.49,48.23,33.13,10.27,93.99,8.48,""
"Triangle pied gauche",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile gauche / Triangle pied gauche",3.09,49.8,30.04,10.0,1.5,10.0,"Texture Bois Plank"
"Planche extérieur",1,"🛌 Bloc lit peigne / Planche extérieur",3.76,88.19,2.04,190.0,77.5,38.0,"Texture Bois Plank"
"Planche sol",2,"🛌 Bloc lit peigne / Planche extérieur / Planche sol",2.26,89.74,2.04,187.0,74.5,1.5,""
"Planche fond longueur",2,"🛌 Bloc lit peigne / Planche extérieur / Planche fond longueur",18.66,165.75,2.04,187.0,1.5,36.5,""
"Planche droite largeur",2,"🛌 Bloc lit peigne / Planche extérieur / Planche droite largeur",199.87,85.46,1.86,1.5,77.5,38.0,"Texture Bois Plank"
"Planche gauche largeur",2,"🛌 Bloc lit peigne / Planche extérieur / Planche gauche largeur",3.09,88.3,28.29,1.5,77.5,38.0,""
"Planche face longueur",2,"🛌 Bloc lit peigne / Planche extérieur / Planche face longueur",4.59,89.8,2.04,187.0,1.5,36.5,""
"Tiroir coulissant",1,"🛌 Bloc lit peigne / Tiroir coulissant",0.04,10.74,5.78,107.25,49.0,33.24,""
"Tiroir coulissant",2,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant",0.0,99.1,5.78,104.63,46.4,31.0,"Texture Bois Plank"
"8 tasseaux tiroir coulissant",3,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant",4.67,101.8,7.28,98.5,41.0,29.5,""
"Tasseau fond gauche vertical",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau fond gauche vertical",106.04,141.3,8.78,1.54,1.5,28.0,"Texture Bois Plank"
"Tasseau fond largeur",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau fond largeur",106.04,103.3,7.28,1.54,38.0,1.5,"Texture Bois Plank"
"Tasseau fond droit vertical ",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau fond droit vertical ",106.04,101.8,8.78,1.54,1.5,28.0,"Texture Bois Plank"
"Tasseau vertical avant gauche",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau vertical avant gauche",4.67,141.3,8.78,1.54,1.5,28.0,""
